bikes_4100_14760_5.csvriga;nome attributo;valore da imputare;valore imputato
1700;company;Royal-Enfield;Bajaj
1767;kms_driven;11300;?
3762;model;V12;?
2845;model;Bullet;?
268;kms_driven;71000;?
1235;mileage;84.0;?
1688;model_year;2013;?
1909;kms_driven;37000;?
3622;power;26.0;?
2810;company;Hero;Bajaj
3923;location;delhi;?
3763;model_year;2015;2016
2617;location;gurgaon;?
3809;location;thane;?
1242;power;24.8;?
736;model_year;2017;2020
2934;kms_driven;10000;?
650;model_year;2018;?
2975;mileage;20.0;?
763;location;chennai;?
2630;price;55000;?
3662;kms_driven;42936;?
4092;model_year;2013;2014
3370;mileage;40.0;?
1187;price;30500;?
1737;owner;first;first
2625;kms_driven;34000;?
3981;location;ludhiana;?
4083;location;chennai;?
457;model_year;2015;?
1582;model;RC;?
3561;owner;first;first
301;model;V15;?
2431;price;230000;?
73;model;Avenger;?
2256;kms_driven;25000;?
2816;kms_driven;9500;?
4001;power;16.7;?
1397;price;25000;?
2117;company;Royal-Enfield;Royal-Enfield
30;mileage;55.0;?
1208;model;Renegade;?
3982;kms_driven;15000;?
1331;model_year;2015;2016
3994;price;43000;?
3519;model;Passion;?
2470;owner;first;first
3066;kms_driven;10924;?
1792;company;Bajaj;Bajaj
66;model_year;2016;2016
3123;model_year;2018;2018
2866;kms_driven;21820;?
600;mileage;43.0;?
3933;owner;first;first
1291;location;kolkata;?
1038;mileage;35.0;?
3773;model_year;2014;?
1085;kms_driven;48000;?
2562;location;bangalore;?
1220;owner;first;first
582;location;vadodara;?
2776;mileage;37.0;?
1484;mileage;35.0;?
1018;location;delhi;?
345;company;Bajaj;?
3857;mileage;48.0;?
3384;owner;first;first
3873;kms_driven;16000;?
2701;model;Avenger;?
456;owner;first;first
2180;model_year;2009;2017
1785;owner;second;first
3406;mileage;19.0;?
1856;owner;first;first
2369;power;14.6;?
2819;kms_driven;1112;?
4072;location;mumbai;?
437;model;Pulsar;?
3638;mileage;25.0;?
1442;price;66000;?
2153;power;16.7;?
915;mileage;38.0;?
1656;mileage;32.0;?
4079;model_year;2015;?
474;owner;first;first
2637;kms_driven;15071;?
3008;owner;first;first
1895;location;delhi;?
1844;company;Bajaj;Royal-Enfield
704;model_year;2007;2018
490;power;20.0;?
3714;location;ahmedabad;?
1436;kms_driven;19269;?
709;model_year;2017;?
1526;model_year;2017;2018
311;price;25000;?
422;owner;first;first
372;owner;first;first
403;power;24.8;?
1131;model;Classic;?
4087;model_year;2016;2016
3364;location;gurgaon;?
294;model;V15;?
2186;power;19.8;8.2
3747;price;157800;?
594;kms_driven;13800;?
107;kms_driven;36500;?
3203;owner;first;first
2005;power;37.73;?
781;model_year;2013;2017
1310;location;pune;?
917;model;Bullet;?
581;owner;first;first
1663;kms_driven;18000;?
1416;owner;first;first
2520;company;Royal-Enfield;KTM
3583;price;18900;?
1561;owner;first;first
3849;price;65300;?
2447;model;RC;?
764;power;16.0;?
2563;model;Thunderbird;?
1136;model;Bullet;?
1255;mileage;25.0;?
3489;kms_driven;36000;?
1026;location;bangalore;?
2152;location;pune;?
4015;location;rajkot;?
487;kms_driven;19000;?
3151;mileage;57.0;89.0
2265;kms_driven;48000;?
165;mileage;63.0;?
313;mileage;42.0;?
2312;mileage;48.0;?
3134;power;27.2;?
2832;mileage;45.0;?
2889;owner;first;first
1229;price;77900;?
314;company;Yamaha;?
83;mileage;22.0;?
3276;owner;first;first
2593;location;chennai;?
2386;mileage;5.0;?
683;price;70000;?
1623;power;17.0;?
3662;owner;first;first
3322;power;13.8;15.0
1840;location;ludhiana;?
690;model_year;2015;2018
3218;owner;first;first
1678;power;19.0;?
1262;model_year;2017;?
2112;model_year;2016;2020
2725;company;Honda;?
2086;price;72625;?
2008;owner;first;first
2276;power;19.0;?
193;mileage;43.0;?
1251;owner;second;first
1432;mileage;42.0;?
1390;model;Passion;?
2625;company;Bajaj;?
2518;model_year;2016;?
411;mileage;84.0;?
1210;power;14.0;?
224;kms_driven;12000;?
1881;kms_driven;2600;?
1934;kms_driven;8500;?
291;power;42.3;42.3
22;power;26.15;?
2575;model_year;2019;2018
3171;power;19.8;?
3729;model_year;2004;2008
3000;power;19.8;?
3783;kms_driven;46700;?
2955;model_year;2016;?
2733;company;Suzuki;?
2870;power;14.6;?
2684;model_year;2018;2019
3332;power;10.6;?
278;power;24.2;?
2164;price;265000;?
1026;kms_driven;1100;?
348;power;21.0;19.0
2723;location;mumbai;?
190;owner;first;first
1775;owner;first;first
3105;model_year;2020;?
2427;power;19.8;8.2
1450;model_year;2016;2016
1562;location;chandigarh;?
680;model_year;2018;?
1276;mileage;40.0;?
453;model;Pulsar;?
1384;location;ranchi;?
1341;model;Duke;?
726;price;45000;?
3328;price;16500;?
1887;owner;first;first
2034;kms_driven;28592;?
1810;company;Royal-Enfield;Harley-Davidson
951;model;Street;?
1547;owner;first;first
438;mileage;52.5;?
510;location;jaipur;?
4019;owner;first;first
1807;mileage;20.0;?
3514;company;Harley-Davidson;Harley-Davidson
585;mileage;35.0;?
3613;kms_driven;26000;?
559;model_year;2012;?
2312;price;37389;?
1225;model;Centuro;?
217;model_year;2016;?
3030;model_year;1991;2015
3540;owner;first;first
2341;location;delhi;?
3285;location;hyderabad;?
1567;owner;first;first
3436;kms_driven;8425;?
1557;location;mumbai;?
2517;model;V15;?
2068;model_year;2016;?
1980;mileage;65.0;?
494;kms_driven;53000;?
3017;mileage;32.0;?
1372;power;8.0;?
844;mileage;40.0;?
2735;model;Thunderbird;?
3734;price;48500;?
2360;model;Sport;?
2563;location;bangalore;?
510;kms_driven;84000;?
2317;model;Pulsar;?
2373;power;19.8;?
2368;kms_driven;14000;?
1644;mileage;42.0;?
930;price;145000;?
1438;kms_driven;50000;?
837;power;19.8;?
2692;owner;first;first
482;model;Bullet;?
1166;kms_driven;900;?
3963;model_year;2018;?
906;location;kalyan;?
2635;model;Classic;?
2377;mileage;35.0;?
3795;owner;first;first
3590;model;Thunderbird;?
2871;kms_driven;13700;?
2999;price;100000;?
549;power;21.0;8.2
1835;location;delhi;?
1273;model_year;2017;2016
3425;model_year;2015;2020
2839;model_year;2019;?
625;location;delhi;?
2925;company;Harley-Davidson;Kawasaki
2381;price;70000;?
706;price;22000;?
3646;kms_driven;25424;?
2376;kms_driven;850;?
191;price;197000;?
18;company;Royal-Enfield;?
2922;location;mumbai;?
773;power;19.0;?
3953;model;Passion;?
2534;kms_driven;31000;?
1689;company;Hero;Yamaha
2368;price;190000;?
590;company;UM;?
1264;model;CB;?
1290;model_year;2017;?
2281;owner;first;first
3616;mileage;20.0;?
215;owner;first;first
1869;model_year;2015;?
2105;power;19.8;?
675;power;15.3;8.2
1242;company;UM;Royal-Enfield
1253;price;108000;?
3892;power;8.9;?
2598;power;42.3;?
38;mileage;55.0;?
664;owner;first;first
2668;kms_driven;15500;?
1154;kms_driven;33000;?
168;location;mumbai;?
2486;model_year;2018;2018
509;company;Yamaha;Bajaj
2107;model_year;2019;2018
1109;model;RC;?
3018;owner;first;first
2106;mileage;35.0;?
1118;price;48500;?
1349;location;delhi;?
1527;company;Yamaha;KTM
1246;power;8.2;?
2861;model_year;2016;2018
324;power;12.32;?
271;power;21.0;?
2579;power;19.8;?
3757;kms_driven;28661;?
633;price;135000;?
3884;price;35000;?
511;location;jaipur;?
1348;location;pune;?
2520;owner;first;first
2464;power;11.8;?
2393;power;19.8;8.2
2741;price;129800;?
2938;power;25.0;?
3149;mileage;35.0;?
484;company;KTM;Royal-Enfield
3023;model;Gixxer;?
2678;model_year;2018;2020
4088;location;delhi;?
343;model_year;2019;?
3525;model_year;2016;?
1694;mileage;35.0;?
457;power;8.2;?
2275;model;Karizma;?
3063;owner;first;first
2936;kms_driven;15000;?
1096;price;138500;?
2260;model;Duke;?
1007;company;KTM;Royal-Enfield
688;price;125000;?
439;location;delhi;?
2411;model;Classic;?
3305;kms_driven;8500;?
2248;owner;second;first
876;model_year;2015;2018
3522;owner;first;first
2266;model_year;2021;2018
525;model_year;2017;2016
3582;company;KTM;Royal-Enfield
2147;location;pune;?
2547;mileage;35.0;?
401;model_year;2015;?
1419;model_year;2018;2015
3816;company;Bajaj;?
3691;company;TVS;?
1556;kms_driven;10000;?
2930;owner;first;first
785;model;Pulsar;?
490;company;Hero;Harley-Davidson
3455;model_year;2015;2017
2845;price;135000;?
1195;location;ludhiana;?
1471;mileage;35.0;?
3705;model_year;2016;2020
3387;kms_driven;48000;?
828;kms_driven;3500;?
3575;power;27.2;?
2680;price;65000;?
1497;model;Passion;?
4071;power;42.9;?
1540;company;KTM;?
3212;owner;first;first
346;location;kolkata;?
351;location;rajkot;?
2658;model;Continental;?
2991;model;Thunderbird;?
4003;company;Royal-Enfield;Harley-Davidson
1127;price;17000;?
497;model;Duke;?
3371;kms_driven;44000;?
2579;owner;first;first
2166;owner;second;first
2956;model_year;2018;?
1113;power;16.8;?
4048;mileage;37.0;?
2525;price;47000;?
1076;location;gurgaon;?
1652;owner;second;first
2047;company;Hero;?
2389;model_year;2017;2017
3992;model_year;2011;?
3756;power;24.6;?
640;price;72000;?
1380;model_year;2015;?
673;model;V15;?
3973;owner;first;first
1031;location;gurgaon;?
1126;model;Avenger;?
134;kms_driven;40000;?
2911;power;74.0;?
1716;price;20000;?
813;mileage;57.0;?
3840;kms_driven;45635;?
3855;mileage;55.0;?
3005;price;40000;?
3791;price;17000;?
2862;price;50000;?
490;model_year;2014;2012
2046;kms_driven;2500;?
1553;power;19.8;?
3588;owner;first;first
2121;mileage;85.0;?
3778;company;Hero;?
3426;company;Harley-Davidson;?
4075;model;Thunderbird;?
514;price;15000;?
1475;mileage;35.0;?
1561;company;Royal-Enfield;?
1831;model;Platina;?
2798;model;Passion;?
3136;model_year;2017;?
1962;owner;first;first
3992;location;chennai;?
3103;kms_driven;45000;?
1768;model;Bullet;?
1489;power;27.2;?
1505;kms_driven;38000;?
920;power;19.8;27.2
677;kms_driven;16000;?
3591;company;Royal-Enfield;?
2351;price;120000;?
171;price;175000;?
3706;power;21.0;8.2
2706;model;Passion;?
158;model_year;2018;2017
3758;kms_driven;23000;?
175;company;Bajaj;Hero
1820;mileage;37.0;?
1678;location;mumbai;?
2932;company;Benelli;Hyosung
2249;owner;first;first
739;kms_driven;1440;?
397;company;Royal-Enfield;Royal-Enfield
1537;location;mumbai;?
2085;mileage;40.0;?
2373;model_year;2018;2009
1296;company;KTM;?
1844;model_year;2017;2017
3916;company;Hero;Hero
3947;price;23000;?
3939;owner;first;first
2339;company;KTM;KTM
3157;owner;first;first
3366;mileage;35.0;?
803;company;KTM;UM
2181;model_year;2009;2018
754;power;19.0;?
3231;model_year;2017;2020
3238;location;chennai;?
1178;company;Kawasaki;?
3001;mileage;32.0;?
1842;owner;first;first
330;kms_driven;37000;?
294;location;delhi;?
2244;company;Hero;Hero
506;company;Bajaj;Bajaj
1080;mileage;26.0;?
2034;model_year;2013;2012
2548;company;Royal-Enfield;KTM
2928;company;Harley-Davidson;KTM
1469;company;Kawasaki;?
3750;model;Bullet;?
645;model;Classic;?
3180;model;Classic;?
2086;owner;first;first
1550;location;ahmedabad;?
998;price;100000;?
1559;price;176375;?
814;model;Xtreme;?
884;power;8.5;?
3475;price;58100;?
3652;model_year;2004;2017
2556;price;156000;?
2794;kms_driven;9000;?
424;price;50000;?
1181;power;19.8;?
65;model_year;2016;?
3732;kms_driven;24336;?
1628;model;Thunderbird;?
1515;price;217875;?
1429;company;Hero;?
1932;location;chennai;?
3121;model_year;2014;2013
1522;model_year;2014;2013
19;location;delhi;?
6;mileage;25.0;?
2809;model;Splendor;?
207;price;70000;?
3366;company;Bajaj;?
1926;model_year;2018;2018
3499;owner;first;first
2209;company;KTM;?
505;location;bangalore;?
4082;mileage;72.0;?
1502;mileage;43.0;?
2115;company;KTM;Royal-Enfield
2371;model;Pulsar;?
2288;owner;first;first
3333;model;Avenger;?
3292;owner;first;first
2096;owner;second;first
693;price;72000;?
124;location;mumbai;?
3430;price;197125;?
3870;model_year;2011;2018
4073;power;42.9;42.9
1036;model;RC;?
1499;price;200000;?
1371;company;KTM;Hyosung
4051;model;Gixxer;?
2617;owner;first;first
2351;owner;first;first
1690;model;Ignitor;?
2574;company;Royal-Enfield;?
1818;price;44400;?
584;price;69500;?
1622;price;22000;?
249;company;Bajaj;Harley-Davidson
1688;owner;third;first
1695;kms_driven;6500;?
3137;company;Royal-Enfield;Harley-Davidson
2322;power;25.0;?
4014;price;102000;?
3550;model_year;2017;?
1838;price;58500;?
1644;location;chennai;?
1924;kms_driven;33128;?
1847;mileage;39.4;?
590;owner;first;first
2759;price;105000;?
1177;kms_driven;1000;?
3143;company;Royal-Enfield;?
485;power;21.0;?
2068;mileage;20.0;?
3970;model_year;2012;?
895;power;8.1;?
1553;model;Classic;?
2660;power;27.2;?
1051;price;85000;?
1215;location;delhi;?
2186;owner;first;first
4063;power;7.7;?
2442;price;170000;?
1384;owner;first;first
3433;kms_driven;32000;?
2928;mileage;20.0;?
2277;model_year;2009;2011
2149;price;130500;?
3563;model;RC;?
3778;model;Xtreme;?
385;mileage;35.0;?
3580;power;11.8;?
2614;price;155000;?
2068;price;395000;?
2618;company;KTM;?
2914;power;15.0;?
140;power;19.8;?
3298;owner;first;first
134;power;12.32;?
3377;company;KTM;Harley-Davidson
2892;model;Ninja;?
2920;power;11.8;?
3970;location;jaipur;?
961;company;Royal-Enfield;?
730;owner;first;first
1296;location;thane;?
1016;price;22100;?
3730;power;16.0;?
1528;model;Himalayan;?
245;location;delhi;?
2070;company;Bajaj;?
3284;kms_driven;7544;?
3724;company;Harley-Davidson;?
1917;power;27.2;?
2999;kms_driven;15000;?
4084;model_year;2014;2014
2551;power;19.8;?
2412;company;Royal-Enfield;Royal-Enfield
1728;model_year;2012;2016
1559;owner;first;first
1747;company;Bajaj;Yamaha
2270;model;Thunderbird;?
717;model;Super;?
277;price;110000;?
4099;company;Bajaj;Hero
357;company;Royal-Enfield;Royal-Enfield
1464;location;mumbai;?
2642;company;Royal-Enfield;?
3369;mileage;40.0;?
1523;model;Fat;?
2565;owner;first;first
2862;location;ahmedabad;?
1161;model_year;2015;?
1322;mileage;35.0;?
365;model;Classic;?
4006;price;42000;?
3812;price;26000;?
2119;owner;first;first
1999;location;delhi;?
219;location;chittorgarh;?
1828;price;101000;?
1135;location;mumbai;?
2716;kms_driven;28000;?
93;model_year;2019;2018
1473;price;45000;?
1570;model_year;2019;2018
3889;kms_driven;40826;?
3493;price;75000;?
1105;kms_driven;22000;?
2320;model_year;2011;?
1888;owner;first;first
2060;model;Bullet;?
2540;model;V15;?
423;price;28000;?
292;owner;first;first
1173;power;21.0;?
3602;owner;first;first
217;power;19.0;?
4035;owner;first;first
3247;owner;first;first
698;price;115000;?
1258;price;112000;?
1120;power;13.0;?
3937;mileage;75.0;?
779;owner;first;first
2484;power;16.7;8.2
347;mileage;40.0;?
3726;company;Bajaj;?
1651;model;FZs;?
207;company;Bajaj;?
2620;price;110000;?
450;company;Hero;Harley-Davidson
2178;company;Royal-Enfield;Royal-Enfield
3167;company;Bajaj;Harley-Davidson
2160;kms_driven;1200;?
728;location;delhi;?
3183;model;Classic;?
3223;company;TVS;?
1804;power;27.2;?
920;owner;first;first
2040;kms_driven;16800;?
2350;power;19.8;?
2133;price;119000;?
3964;mileage;81.0;?
426;price;50400;?
944;location;thane;?
2455;model_year;2014;2015
3262;company;Hero;Hero
3237;price;150000;?
1473;mileage;45.0;?
498;company;Royal-Enfield;?
607;owner;first;first
2415;location;thane;?
73;kms_driven;9097;?
70;price;49000;?
932;price;50000;?
2196;model_year;2018;2018
826;company;Hero;Hero
4045;location;chennai;?
224;location;jalandhar;?
801;model;Ignitor;?
243;power;19.0;?
852;owner;second;first
1266;mileage;20.0;?
3822;owner;first;first
1634;mileage;35.0;?
3157;price;70000;?
3870;power;7.0;?
3263;company;Royal-Enfield;Royal-Enfield
852;price;47800;?
2256;power;16.0;8.2
310;owner;first;first
506;mileage;57.0;?
878;kms_driven;14000;?
3047;power;33.0;?
3628;mileage;35.0;?
3999;location;jaipur;?
467;owner;first;first
1987;mileage;53.0;?
3838;kms_driven;10000;?
337;company;Hero;Bajaj
1687;model_year;2014;2018
1496;owner;first;first
3320;kms_driven;20171;?
3052;company;Royal-Enfield;?
2473;company;Bajaj;Harley-Davidson
2497;kms_driven;23833;?
2191;owner;first;first
2026;price;77200;?
820;mileage;25.0;?
143;power;19.8;?
2632;owner;first;first
709;mileage;35.0;?
4049;owner;first;first
2514;mileage;43.0;?
2024;location;mumbai;?
736;model;Renegade;?
2922;kms_driven;7400;?
2089;location;hyderabad;?
1282;mileage;27.0;?
1353;model_year;2016;2016
587;power;19.0;21.0
2869;company;Bajaj;Royal-Enfield
2253;model;Classic;?
2328;company;Royal-Enfield;Royal-Enfield
3548;mileage;40.0;?
2509;owner;first;first
868;model;Classic;?
493;power;19.8;?
2324;model;Classic;?
2120;price;155625;?
286;company;Royal-Enfield;Royal-Enfield
1811;price;110000;?
607;mileage;35.0;?
3623;model;Duke;?
2359;power;9.0;7.91
47;mileage;5.0;?
254;power;27.2;?
1429;power;14.0;?
2218;power;25.1;?
3348;location;thane;?
2915;price;75000;?
2862;kms_driven;45000;?
1980;owner;second;first
708;model;Avenger;?
1795;location;agra;?
3375;model_year;2018;?
3630;mileage;40.0;?
3940;model_year;2018;2016
1164;location;gurgaon;?
3529;model;Pulsar;?
3251;location;gurgaon;?
728;power;21.0;?
148;owner;first;first
2019;mileage;32.0;?
2035;power;13.0;?
3854;company;Yamaha;Royal-Enfield
1184;model_year;2017;?
910;company;Bajaj;?
1457;price;259375;?
1651;company;Yamaha;?
1737;price;16000;?
2160;price;95000;?
1048;model;Avenger;?
3356;model_year;2016;?
1241;kms_driven;35000;?
483;power;19.8;?
975;kms_driven;45000;?
3016;model_year;2016;?
3975;model_year;2012;?
1123;power;27.2;?
1171;power;54.2;?
3789;power;67.2;?
1928;kms_driven;11493;?
1051;company;Yamaha;?
1476;company;Bajaj;Harley-Davidson
3711;mileage;35.0;?
3120;price;119000;?
501;power;25.0;?
928;model;Sport;?
1390;kms_driven;14000;?
158;location;delhi;?
3135;power;21.0;8.2
3615;model_year;2016;2021
502;mileage;35.0;?
2125;model;Forty;?
2561;location;bangalore;?
648;model_year;2013;?
3182;company;KTM;Harley-Davidson
2451;owner;first;first
3133;owner;first;first
444;location;mumbai;?
1496;model;Classic;?
1104;owner;first;first
2213;location;mumbai;?
333;company;Suzuki;?
2510;location;vadodara;?
1011;power;11.8;?
539;company;Yamaha;?
85;mileage;5.0;?
1674;owner;first;first
3855;model;Ignitor;?
1668;mileage;55.0;?
2064;model;Passion;?
232;company;Bajaj;KTM
2073;price;50000;?
1992;location;delhi;?
3400;kms_driven;49000;?
3868;model;Pulsar;?
762;power;17.0;21.0
2813;price;75000;?
2515;kms_driven;16786;?
2932;model_year;2019;?
3743;power;15.0;?
2579;model_year;2011;?
3388;power;7.4;?
2499;model_year;2019;?
2933;mileage;25.0;?
3020;company;Hero;?
3456;company;Bajaj;?
2962;owner;first;first
3039;location;bangalore;?
2042;owner;first;first
1246;location;delhi;?
2277;power;7.7;?
1294;model;Classic;?
2610;model;Thunderbird;?
1319;price;195000;?
1033;model_year;2018;?
2152;kms_driven;34000;?
2446;owner;first;first
3270;price;26950;?
487;model;Duke;?
58;power;8.1;15.0
3951;owner;first;first
499;model_year;2019;?
4004;power;14.3;?
816;location;bangalore;?
2138;location;mumbai;?
3202;power;21.0;?
2258;price;363125;?
3315;model;Street;?
954;price;105000;?
2999;power;19.0;?
1762;location;ahmedabad;?
4065;power;17.0;?
3312;owner;first;first
526;owner;first;first
1973;owner;first;first
2453;price;16000;?
1008;price;181562;?
1372;kms_driven;64000;?
455;price;39500;?
2432;kms_driven;11000;?
3300;model_year;2013;?
2893;model;YZF-R15;?
2818;mileage;29.0;?
3955;kms_driven;105000;?
3921;company;Bajaj;?
2340;company;Royal-Enfield;?
1341;company;KTM;?
3596;owner;first;first
1027;model;RC;?
2055;model;Pulsar;?
1833;price;38000;?
3702;model;Mojo;?
1099;price;85000;?
2123;owner;first;first
3456;kms_driven;57000;?
2932;location;hyderabad;?
749;model_year;2021;?
4032;mileage;81.0;?
3962;model_year;2011;2018
3457;mileage;42.0;?
928;mileage;95.0;?
1770;location;ambala;?
413;company;Royal-Enfield;Harley-Davidson
2549;location;ahmedabad;?
2693;model;Classic;?
2759;owner;first;first
2523;model_year;2018;2019
1491;kms_driven;27900;?
3049;owner;third;first
4016;model_year;2014;2016
4011;power;12.32;15.0
546;kms_driven;7000;?
113;location;chandigarh;?
38;model_year;2019;?
1444;mileage;45.0;?
676;location;delhi;?
3400;power;7.7;15.0
2134;kms_driven;6776;?
2393;model_year;2015;2015
1274;model_year;2015;?
3911;company;Royal-Enfield;?
63;power;19.8;?
2103;model;Aquila;?
1364;company;Bajaj;Royal-Enfield
3572;mileage;25.0;?
1635;kms_driven;50000;?
1980;company;Bajaj;Hero
3130;price;59500;?
1058;model;YZF-R15;?
3750;owner;first;first
2613;location;delhi;?
260;kms_driven;23270;?
3145;company;Hero;Hero
2893;kms_driven;35255;?
1143;owner;first;first
782;price;134400;?
3220;power;42.9;?
2495;company;UM;?
974;kms_driven;500;?
1646;power;12.9;?
1710;location;delhi;?
188;owner;first;first
2041;owner;first;first
370;location;ahmednagar;?
1349;mileage;35.0;?
510;owner;first;first
1629;mileage;50.0;?
1116;owner;first;first
1233;power;19.8;?
1249;power;14.6;?
3590;mileage;25.0;?
3119;company;Royal-Enfield;?
3110;model_year;2017;2016
1875;company;Bajaj;?
3721;model_year;2016;?
2821;location;hyderabad;?
1067;power;47.0;47.0
1218;location;faridabad;?
882;owner;first;first
2220;kms_driven;9200;?
3468;owner;first;first
2697;mileage;45.0;?
3874;price;22000;?
3007;model_year;2015;2012
2681;mileage;35.0;?
1127;mileage;55.0;?
385;company;Royal-Enfield;Bajaj
2815;power;25.0;?
3350;mileage;22.0;?
2470;kms_driven;700;?
3927;model;Pulsar;?
1805;power;19.8;8.2
4083;mileage;85.0;?
3011;price;40000;?
2106;model_year;2020;?
1537;company;Royal-Enfield;?
1972;owner;first;first
2792;price;36000;?
460;kms_driven;23000;?
660;location;delhi;?
537;company;Yamaha;Hero
2078;location;bangalore;?
1262;owner;first;first
2744;power;26.1;?
4027;mileage;53.0;?
373;owner;first;first
2659;model;V15;?
1345;location;pune;?
2002;model;V15;?
768;company;Yamaha;Hero
2356;mileage;83.0;89.0
428;mileage;38.5;?
634;power;14.0;?
3648;price;10000;?
3704;mileage;35.0;?
792;power;19.1;?
1117;model;Bullet;?
2924;owner;first;first
3240;location;pune;?
536;location;mumbai;?
3021;location;delhi;?
395;company;Royal-Enfield;Royal-Enfield
1274;location;mumbai;?
1404;kms_driven;3808;?
766;power;8.44;?
2125;price;570625;?
896;location;delhi;?
3742;location;delhi;?
1462;mileage;20.0;?
2219;power;42.9;42.9
1133;mileage;35.0;?
2439;mileage;32.0;?
3442;location;ludhiana;?
2884;price;23000;?
2691;model_year;2019;2019
4074;price;18000;?
3300;location;mumbai;?
4076;company;Royal-Enfield;Harley-Davidson
3646;price;14000;?
139;model;Classic;?
1510;price;23900;?
2321;model;Bullet;?
2008;company;Harley-Davidson;Royal-Enfield
2333;company;Bajaj;?
3725;location;mumbai;?
3734;mileage;55.0;?
3483;price;141400;?
147;owner;first;first
2346;price;130000;?
2317;mileage;38.0;?
4068;mileage;35.0;?
922;mileage;25.0;?
3912;power;26.1;?
1090;model;Gixxer;?
217;company;Bajaj;?
1098;kms_driven;17200;?
552;power;24.8;?
3774;model_year;2017;?
3954;mileage;35.0;?
1135;kms_driven;3000;?
3634;model;Classic;?
4009;price;22000;?
3661;mileage;35.0;?
2081;price;115051;?
2448;power;27.2;?
4100;kms_driven;15000;?
757;kms_driven;2000;?
3153;owner;first;first
1386;model;Passion;?
3234;company;UM;?
3344;mileage;38.0;?
1668;location;bangalore;?
2912;mileage;65.0;?
51;mileage;38.0;?
3005;mileage;40.0;?
1916;owner;first;first
2193;power;19.0;?
1105;power;127.0;?
3384;model_year;2017;?
462;price;130000;?
2832;price;23000;?
294;mileage;57.0;?
2445;price;60000;?
2352;power;16.8;?
3763;company;Bajaj;?
2232;owner;first;first
282;power;17.0;?
729;mileage;35.0;?
3438;model_year;2014;2018
1836;power;8.1;?
1277;price;85000;?
863;owner;first;first
950;model;Splendor;?
2724;company;KTM;?
1984;company;Royal-Enfield;Harley-Davidson
3730;model_year;2016;2019
1421;power;11.8;?
3259;model_year;2016;2015
3629;mileage;65.0;?
1869;power;21.0;?
3889;power;13.0;?
3485;model_year;2017;?
1709;location;pune;?
1221;mileage;43.0;?
238;price;165000;?
3964;company;Hero;Hero
3006;price;98000;?
2037;power;25.1;?
2310;price;100000;?
1623;location;bangalore;?
3522;model_year;2016;2018
3074;power;27.2;?
3561;price;20000;?
1496;price;123100;?
4041;power;25.0;24.8
3426;model;Street;?
1699;model;Classic;?
3283;company;Hero;Harley-Davidson
3617;kms_driven;14000;?
1494;company;TVS;?
914;model;RC;?
2570;mileage;40.0;?
128;company;Suzuki;?
1617;power;14.0;?
1008;company;KTM;?
760;price;35000;?
2036;model;RC;?
2077;model;Aquila;?
2529;price;85000;?
513;model_year;2018;2015
3094;location;agra;?
2742;model_year;2020;?
755;company;KTM;?
1374;model;Classic;?
1125;model_year;2015;2016
3087;kms_driven;35000;?
541;model;Standard;?
1839;model;Classic;?
3519;mileage;50.0;?
639;location;thane;?
1087;power;21.0;?
3434;owner;first;first
635;company;Hero;Hero
2904;owner;first;first
2573;company;Bajaj;Harley-Davidson
1015;location;mumbai;?
2264;power;19.1;?
2626;model;Xtreme;?
60;power;16.7;?
2997;price;85000;?
3808;power;27.2;?
2400;model_year;2015;2013
1340;model;Classic;?
614;model_year;2015;2016
1987;location;noida;?
1813;location;delhi;?
2303;mileage;57.0;?
2090;kms_driven;4400;?
3655;mileage;35.0;?
3729;mileage;55.0;?
279;mileage;40.0;?
2344;company;Hero;Hero
569;location;dehradun;?
2884;mileage;81.0;?
3722;price;61700;?
2815;price;120000;?
1622;mileage;55.0;?
589;company;Royal-Enfield;Bajaj
1010;model_year;2021;2021
1333;mileage;40.0;?
3294;model;Classic;?
2829;model;Classic;?
367;model_year;2019;2012
1476;model;Avenger;?
970;location;noida;?
28;location;chittorgarh;?
2564;power;19.8;?
436;model;Pulsar;?
3787;location;chennai;?
113;model;Bullet;?
1022;power;11.8;?
971;model_year;2018;2018
776;price;80000;?
2274;power;8.2;?
360;price;210000;?
1288;power;19.8;?
2474;power;19.8;?
618;mileage;38.0;?
2145;model;CT;?
2392;company;Hero;Hero
1031;model;Renegade;?
3952;power;16.0;19.8
501;location;bangalore;?
2759;company;KTM;?
1127;power;7.5;?
1938;mileage;42.0;?
2661;price;120000;?
2740;company;Bajaj;Harley-Davidson
530;model;HF;?
2092;mileage;40.0;?
1726;kms_driven;6200;?
2959;location;pune;?
2638;price;32000;?
3839;location;bangalore;?
2891;company;Hero;Bajaj
4045;model_year;2010;2015
1241;location;ahmedabad;?
462;power;24.6;?
322;price;58000;?
230;company;Bajaj;?
211;model_year;2010;2018
1770;company;Suzuki;?
3897;price;28000;?
1862;price;123400;?
1073;company;Suzuki;?
632;mileage;65.0;?
3109;company;Suzuki;?
2758;mileage;35.0;?
3415;kms_driven;15500;?
577;model_year;2014;?
470;model;Thunderbird;?
593;company;Hero;?
2827;location;delhi;?
2580;mileage;35.0;?
3211;mileage;43.0;?
989;location;ahmedabad;?
2908;model_year;2015;?
1546;kms_driven;7500;?
539;location;patna;?
4029;model;Passion;?
362;model;Super;?
3140;owner;first;first
2007;owner;first;first
1731;company;KTM;?
3392;owner;first;first
