Age;Gender;Country;state;self_employed;family_history;treatment;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence
41;female;Netherlands;?;Yes;No;Yes;Rarely;1-5;Yes;Yes;Don't know;Yes;Don't know;Yes;No;Somewhat easy;No;No;Yes;Yes;Yes;Yes;Yes;No
37;Female;United States;IL;?;No;Yes;Often;6-25;No;Yes;Yes;Not sure;No;Yes;Yes;Somewhat easy;No;No;Some of them;Yes;No;Maybe;Yes;No
32;Male;Canada;?;;No;No;Rarely;6-25;No;Yes;No;No;No;No;Don't know;Somewhat difficult;No;No;Yes;Yes;Yes;Yes;No;No
33;Male;United States;TN;?;Yes;No;Sometimes;6-25;No;Yes;Yes;Not sure;No;Don't know;Don't know;Don't know;No;No;Yes;Yes;No;Maybe;Don't know;No
31;Male;United States;OH;?;No;Yes;Sometimes;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;No;No;Don't know;No
27;Male;Canada;?;;No;No;Never;6-25;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Somewhat easy;No;No;Some of them;Some of them;Maybe;Yes;Yes;No
32;Male;United States;TN;?;No;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;No;No
36;Male;France;?;Yes;Yes;No;?;6-25;Yes;Yes;No;No;Yes;No;Yes;Somewhat easy;No;No;Some of them;Some of them;Maybe;Maybe;Don't know;No
35;Female;United States;CA;No;Yes;Yes;Rarely;6-25;Yes;Yes;Yes;Yes;Don't know;Don't know;Don't know;Don't know;No;No;Yes;Yes;Maybe;Maybe;Yes;No
37;Male;United Kingdom;?;No;No;No;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Very difficult;Yes;Maybe;Some of them;No;No;Maybe;No;No
32;Male;United Kingdom;?;No;No;No;Never;6-25;Yes;Yes;No;No;No;No;Don't know;Don't know;Yes;Yes;Some of them;Some of them;No;Maybe;No;No
27;Male;United States;NY;No;No;Yes;Rarely;6-25;No;Yes;No;Yes;No;No;Don't know;Very easy;No;No;Yes;Yes;Maybe;Maybe;Don't know;No
24;Male;United Kingdom;?;No;No;Yes;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;No;No;Yes;No;Yes
18;Male;Netherlands;?;No;No;No;Often;6-25;No;Yes;No;Not sure;No;No;Don't know;Somewhat difficult;Yes;Maybe;No;Some of them;No;No;No;No
34;Male;United States;TN;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Don't know;No;No;Yes;Yes;Maybe;Yes;Don't know;No
22;M;United States;TX;No;Yes;Yes;Often;6-25;No;Yes;No;Yes;No;No;Yes;Very difficult;Maybe;No;No;No;No;Maybe;Don't know;No
32;maile;United States;TN;No;Yes;No;?;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Somewhat easy;No;No;Yes;Yes;No;No;Yes;No
33;male;Canada;?;No;Yes;Yes;Often;6-25;Yes;Yes;Don't know;No;No;No;No;Somewhat difficult;Yes;No;No;No;No;Maybe;Don't know;No
35;male;Canada;?;No;No;No;Sometimes;6-25;No;Yes;Don't know;No;No;No;Don't know;Somewhat easy;No;No;Some of them;Yes;No;Maybe;Don't know;No
34;male;Canada;?;No;No;No;Never;6-25;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Somewhat easy;No;No;Some of them;Yes;No;No;Don't know;No
28;m;Germany;?;No;No;No;Never;6-25;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Very easy;No;No;Some of them;Some of them;Maybe;Yes;Yes;No
39;Male;United Kingdom;?;Yes;No;Yes;Often;6-25;No;Yes;No;No;No;No;Don't know;Very difficult;Maybe;No;Some of them;No;No;Maybe;No;Yes
31;male;Mexico;?;No;Yes;Yes;Sometimes;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Yes;No;No
33;Cis Male;United States;AZ;No;No;Yes;Sometimes;6-25;No;Yes;No;Yes;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;No;No;Maybe;No;No
35;Male;United States;MO;No;Yes;No;Rarely;6-25;No;Yes;Yes;Not sure;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;No;No;Don't know;No
28;Male;Brazil;?;No;Yes;Yes;Rarely;6-25;No;Yes;No;No;No;No;No;Don't know;Maybe;No;Yes;Yes;No;No;Don't know;Yes
34;m;United States;TN;No;Yes;No;Never;6-25;Yes;Yes;Yes;No;No;No;Don't know;Don't know;Maybe;No;No;No;No;No;Don't know;No
45;male;United States;MO;No;Yes;Yes;Rarely;6-25;Yes;Yes;Yes;Yes;No;Yes;Yes;Very easy;No;No;Yes;Yes;Yes;Yes;Yes;No
26;Male;United Kingdom;?;No;No;No;Never;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Very easy;No;No;Some of them;Some of them;No;No;Don't know;Yes
27;Male;Canada;?;No;No;No;Rarely;6-25;No;No;Yes;Yes;Yes;Yes;Yes;Very easy;Maybe;No;Some of them;Yes;No;No;Don't know;No
33;Male;United States;MN;No;Yes;Yes;Sometimes;6-25;Yes;Yes;Don't know;No;Don't know;Don't know;Yes;Very easy;No;No;Yes;Yes;No;Maybe;Yes;No
36;Male;United States;WA;No;No;No;Often;6-25;No;Yes;Yes;No;No;No;Yes;Don't know;Maybe;No;No;No;No;No;Don't know;No
27;Male;United Kingdom;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Don't know;No;No;Some of them;Some of them;No;No;Don't know;No
31;Male;United Kingdom;?;No;Yes;No;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Somewhat easy;Maybe;Maybe;No;No;No;No;Yes;No
19;male;Slovenia;?;No;No;Yes;Sometimes;6-25;No;Yes;Don't know;No;No;No;Don't know;Somewhat easy;Yes;Yes;Some of them;No;No;No;Don't know;No
28;Male;United Kingdom;?;No;No;No;Never;6-25;No;Yes;Don't know;No;No;No;Yes;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
29;Female;United States;MD;No;No;No;?;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Somewhat easy;Maybe;No;Some of them;No;No;No;Don't know;No
22;m;Austria;?;No;No;No;?;6-25;Yes;Yes;Don't know;No;Don't know;No;Don't know;Somewhat easy;No;No;Some of them;Some of them;No;No;Don't know;No
24;M;United Kingdom;?;No;No;No;Never;6-25;No;Yes;No;No;No;No;Yes;Don't know;Maybe;Maybe;No;Some of them;No;No;Don't know;No
23;Male;United States;WV;No;No;No;Sometimes;6-25;No;No;No;No;No;No;No;Somewhat easy;Yes;Yes;No;No;No;No;No;No
28;male;Poland;?;No;No;No;Rarely;6-25;Yes;Yes;No;No;No;No;Don't know;Don't know;No;No;Yes;Yes;Maybe;Yes;Yes;No
36;Male;United States;IL;No;No;No;Never;6-25;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Some of them;Maybe;Maybe;Don't know;No
26;male;United States;MA;No;Yes;No;Rarely;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;Don't know;No
42;male;United States;CA;No;No;No;?;6-25;No;Yes;No;Yes;No;No;Don't know;Very difficult;Maybe;No;Yes;Yes;No;Maybe;No;No
31;Male;United Kingdom;?;Yes;No;Yes;Often;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;Maybe;No;Some of them;Yes;No;Maybe;Don't know;No
23;Female;United States;NC;No;No;No;?;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Yes;No;Maybe;Yes;No
32;Female;United States;MA;No;No;Yes;Often;6-25;Yes;Yes;Yes;Not sure;Don't know;Don't know;Yes;Very easy;No;No;Yes;Yes;No;No;Yes;Yes
33;Male;United States;TX;No;No;No;?;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Very easy;No;No;Yes;Yes;No;Maybe;Don't know;No
29;male;Mexico;?;No;No;No;Never;6-25;Yes;Yes;No;No;No;No;No;Don't know;Maybe;Maybe;No;Yes;Maybe;Yes;No;No
26;f;India;?;Yes;No;No;Sometimes;6-25;No;No;No;No;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
24;Male;United Kingdom;?;No;No;No;Sometimes;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Somewhat easy;Maybe;No;Some of them;Yes;Maybe;Yes;Yes;No
26;Male;France;?;No;No;No;?;6-25;Yes;Yes;No;Yes;No;No;Don't know;Somewhat easy;No;No;Some of them;No;No;Maybe;Yes;No
35;Male;United States;CA;No;No;Yes;Rarely;6-25;No;Yes;No;No;No;No;Yes;Don't know;No;No;Some of them;Yes;No;No;Don't know;No
31;Mal;Italy;?;Yes;Yes;No;Never;6-25;No;Yes;No;No;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;Don't know;No
27;Male;United States;TN;No;Yes;No;?;6-25;Yes;Yes;Yes;Yes;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;Yes;No
41;male;United States;FL;No;No;Yes;Often;6-25;Yes;Yes;No;Not sure;No;No;Don't know;Very difficult;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don't know;No
21;Male;Canada;?;No;No;Yes;Sometimes;6-25;Yes;Yes;No;Yes;No;No;Don't know;Somewhat difficult;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No
32;F;United States;TX;No;Yes;Yes;Sometimes;6-25;No;Yes;Don't know;No;No;No;No;Don't know;Yes;Maybe;Some of them;Some of them;No;Maybe;No;Yes
30;Male;Germany;?;Yes;No;Yes;Often;6-25;Yes;Yes;Yes;Yes;No;No;Yes;Very difficult;No;No;Some of them;Yes;Maybe;Yes;Yes;No
31;M;Canada;?;Yes;No;No;?;6-25;No;Yes;Yes;Yes;No;Don't know;Yes;Very easy;No;No;Some of them;Some of them;No;No;Yes;No
34;female;United States;WA;No;No;No;?;6-25;No;Yes;Yes;No;No;No;Don't know;Somewhat easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
28;male;United States;PA;No;No;No;Rarely;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Some of them;No;Maybe;Don't know;No
24;Male;United States;PA;No;No;No;Never;6-25;No;Yes;Yes;Not sure;No;Don't know;Don't know;Very easy;Maybe;No;Some of them;No;Maybe;Maybe;Yes;No
34;Male;United Kingdom;?;No;Yes;No;?;6-25;No;Yes;No;No;No;No;Yes;Somewhat difficult;No;No;Some of them;Yes;No;Yes;No;Yes
28;Female;Canada;?;No;Yes;Yes;Sometimes;6-25;No;No;Yes;Yes;Yes;Yes;Yes;Don't know;No;No;Some of them;Yes;No;No;No;Yes
22;Male;Sweden;?;No;No;No;?;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;No;No
25;Male;South Africa;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Yes;Somewhat difficult;Maybe;No;Some of them;Yes;No;Yes;No;No
21;Male;United States;KY;No;No;Yes;Often;6-25;No;No;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;No;No;No;Maybe;Don't know;No
29;Male;United Kingdom;?;No;No;No;?;6-25;No;No;No;No;No;No;Yes;Very easy;No;No;Yes;Yes;Maybe;Yes;Yes;No
24;Male;United States;VA;No;No;No;Sometimes;6-25;No;Yes;Don't know;No;Don't know;Don't know;Don't know;Don't know;No;No;Yes;Yes;Maybe;Maybe;Don't know;No
29;Male;Canada;?;No;No;No;Often;6-25;No;Yes;No;No;No;No;Don't know;Somewhat difficult;Yes;No;No;No;No;Maybe;Don't know;No
23;Female;United Kingdom;?;No;No;Yes;Sometimes;6-25;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;Maybe;Yes;No
42;Male;United States;WA;No;No;No;Never;6-25;Yes;Yes;No;Yes;No;Yes;Don't know;Somewhat easy;No;No;Some of them;Yes;No;No;Yes;No
25;Male;Australia;?;No;Yes;Yes;Often;6-25;No;Yes;No;Yes;No;No;No;Very difficult;Yes;Maybe;No;No;No;Yes;No;Yes
27;Female;United States;TX;No;No;Yes;Rarely;6-25;No;Yes;Yes;No;No;No;Yes;Don't know;Maybe;Maybe;Yes;No;No;Maybe;Don't know;No
27;Male;Canada;?;No;No;No;Sometimes;6-25;Yes;Yes;No;Yes;No;No;No;Very difficult;Yes;Yes;Some of them;Some of them;No;Maybe;No;No
29;male;Poland;?;No;Yes;Yes;Rarely;6-25;No;Yes;No;Yes;No;No;Yes;Very difficult;Maybe;No;Some of them;Some of them;No;Yes;No;No
43;Male;Canada;?;Yes;No;No;?;6-25;Yes;Yes;No;Not sure;No;No;Don't know;Somewhat easy;Maybe;No;Yes;Yes;Yes;Yes;Don't know;No
32;male;United States;NV;No;No;No;?;6-25;No;Yes;No;Yes;No;Don't know;Don't know;Very easy;No;No;Some of them;Yes;No;Maybe;Don't know;No
32;Male;United States;CO;No;No;No;Never;6-25;Yes;Yes;No;No;No;No;Don't know;Very easy;No;No;Yes;Yes;No;No;Don't know;No
28;male;Colombia;?;No;No;No;Sometimes;6-25;No;Yes;No;Yes;No;No;Don't know;Somewhat easy;Maybe;Maybe;No;Some of them;No;No;Don't know;No
22;Male;Australia;?;Yes;Yes;Yes;Sometimes;6-25;Yes;Yes;Don't know;Not sure;Yes;Yes;Don't know;Somewhat easy;Maybe;No;Some of them;Yes;No;Yes;No;Yes
27;male;Portugal;?;No;No;No;Never;6-25;No;Yes;No;No;No;No;Yes;Don't know;Yes;No;No;No;No;Maybe;Don't know;No
18;male;United States;TX;No;No;Yes;Sometimes;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Yes;No;No;No;No;Maybe;Don't know;No
27;Male;United Kingdom;?;No;Yes;Yes;Sometimes;6-25;No;Yes;No;No;No;No;Yes;Somewhat easy;Maybe;Maybe;Yes;Yes;Yes;Yes;Yes;No
26;male;Canada;?;No;Yes;Yes;Often;6-25;No;Yes;Yes;No;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Some of them;Maybe;Maybe;Yes;No
25;Male;Canada;?;No;No;Yes;Often;6-25;Yes;No;Don't know;No;No;Don't know;Don't know;Somewhat difficult;Yes;Maybe;No;No;No;Maybe;Don't know;No
30;male;United States;VT;No;No;No;?;6-25;No;No;Don't know;Not sure;No;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
25;Male;United States;CA;No;No;Yes;Rarely;6-25;No;Yes;Yes;No;Don't know;No;Don't know;Don't know;Maybe;No;No;No;No;No;Don't know;No
29;m;Romania;?;No;No;No;?;6-25;Yes;No;No;Yes;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;No;No
29;Male;Belgium;?;No;No;No;Often;6-25;No;No;Don't know;No;No;No;Don't know;Don't know;Maybe;No;Yes;Yes;Maybe;Maybe;Don't know;No
30;Male;United Kingdom;?;No;No;No;Never;6-25;No;Yes;No;No;No;Don't know;Don't know;Very easy;No;No;Some of them;Yes;No;Maybe;Yes;No
25;Female;Sweden;?;No;Yes;No;Sometimes;6-25;No;Yes;Yes;Yes;Yes;No;Don't know;Somewhat easy;No;No;Some of them;Yes;No;No;No;No
33;Femake;United States;WA;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Somewhat difficult;Maybe;No;Some of them;Some of them;No;No;Don't know;No
329;Male;United States;OH;No;No;Yes;Often;6-25;Yes;Yes;Yes;Yes;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;No;No;No
21;Male;United Kingdom;?;No;No;Yes;Sometimes;6-25;No;No;Don't know;Not sure;No;No;No;Very easy;Yes;No;Some of them;No;No;Maybe;No;No
26;M;United States;NV;No;No;Yes;Sometimes;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;Yes;Yes;Some of them;No;No;No;No;No
25;female;United States;CA;No;No;Yes;Sometimes;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat difficult;Yes;No;Some of them;No;No;Maybe;Don't know;No
35;Male;United Kingdom;?;No;No;No;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Very difficult;Maybe;Maybe;Some of them;Yes;No;Maybe;No;Yes
26;Male;United States;OR;No;Yes;Yes;Often;6-25;No;Yes;Yes;Yes;No;No;Don't know;Somewhat difficult;Maybe;No;Some of them;Yes;No;No;No;No
26;Male;United States;CA;No;Yes;No;?;6-25;No;Yes;Yes;Yes;No;Yes;Yes;Very easy;No;No;Some of them;Yes;Maybe;Maybe;No;No
22;Male;Brazil;?;Yes;No;No;Never;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Somewhat easy;No;No;Yes;Yes;Maybe;No;Don't know;No
30;Male;United States;CA;No;Yes;No;Often;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Somewhat easy;Maybe;No;Some of them;Yes;No;No;Don't know;No
23;Male;India;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;No;No
34;Male;Finland;?;No;No;No;Never;6-25;No;Yes;No;No;No;No;Don't know;Somewhat easy;No;No;Yes;Yes;No;Maybe;Don't know;No
28;Male;New Zealand;?;No;Yes;Yes;Sometimes;6-25;Yes;Yes;Yes;Yes;Yes;No;Don't know;Very easy;No;No;Yes;Yes;Yes;Yes;Yes;No
32;Male;United Kingdom;?;No;Yes;Yes;Sometimes;6-25;No;Yes;No;No;No;Don't know;Don't know;Somewhat easy;No;No;Some of them;Yes;No;No;Don't know;No
21;M;United States;CA;No;No;No;Sometimes;6-25;No;No;Don't know;Not sure;No;Yes;Yes;Don't know;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No
24;F;United States;NY;No;Yes;Yes;Rarely;6-25;No;Yes;No;No;No;No;Don't know;Very easy;Yes;No;No;Some of them;No;Yes;Yes;No
28;Male;United States;TN;No;No;No;Never;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;No;No;Some of them;Yes;No;No;Don't know;No
26;Male;United Kingdom;?;No;Yes;No;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;No;No;No;Maybe;No;No
23;M;Canada;?;No;Yes;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;No;Yes;Very easy;No;No;Yes;Yes;No;No;Yes;No
43;Male;United States;MA;Yes;Yes;Yes;Often;6-25;Yes;Yes;Yes;Yes;No;No;Yes;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
34;M;United States;CA;No;No;Yes;Sometimes;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;Yes;Yes;Some of them;No;No;No;Don't know;No
27;Male;Brazil;?;No;No;No;Rarely;6-25;No;Yes;No;Yes;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;No;No
32;Male;United Kingdom;?;No;No;No;Never;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;Yes;Yes;No
28;Make;United States;UT;No;No;No;Sometimes;6-25;Yes;Yes;No;Yes;No;No;Don't know;Somewhat easy;Yes;Maybe;Some of them;No;No;No;Don't know;No
27;M;United States;TX;No;Yes;Yes;Sometimes;6-25;Yes;Yes;Don't know;No;Yes;Don't know;Don't know;Somewhat easy;Yes;No;Some of them;Yes;No;Maybe;Yes;No
26;male;France;?;No;No;No;Never;6-25;No;Yes;No;Yes;No;No;Don't know;Don't know;Maybe;No;Yes;Yes;Maybe;Maybe;No;No
29;Male;United States;OH;No;No;No;Sometimes;6-25;No;Yes;Don't know;No;No;No;Don't know;Very difficult;Yes;No;No;No;No;Maybe;No;No
34;Male;United States;OH;No;No;No;Sometimes;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Very difficult;Maybe;No;Some of them;Yes;No;Maybe;Don't know;No
27;Male;Germany;?;No;Yes;Yes;Sometimes;6-25;No;Yes;No;Not sure;No;No;Don't know;Somewhat difficult;Yes;Maybe;Some of them;No;No;No;No;Yes
29;male;United States;IL;No;No;Yes;Rarely;6-25;No;Yes;Yes;Yes;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No
48;M;United States;TX;No;No;No;Never;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;No;No;No;Maybe;Don't know;No
26;Male;Israel;MD;No;No;No;Sometimes;6-25;No;Yes;No;No;No;No;Yes;Very easy;Maybe;No;Some of them;Yes;No;Maybe;Yes;No
33;Male;Italy;?;No;No;No;Never;6-25;No;No;No;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;No;No;No
34;Male;Netherlands;?;No;No;No;Rarely;6-25;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Somewhat easy;No;No;Some of them;Some of them;No;Maybe;Yes;No
32;male;United Kingdom;?;No;Yes;Yes;Sometimes;6-25;Yes;Yes;Yes;No;No;No;Don't know;Don't know;No;No;Yes;Yes;Maybe;Maybe;Yes;No
25;f;United States;WA;No;No;No;Sometimes;6-25;No;Yes;No;No;No;No;No;Somewhat easy;Maybe;No;Some of them;No;No;No;Yes;No
43;Male;United States;NC;No;No;No;?;6-25;Yes;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;No;No;No;Don't know;No
33;Male;Germany;?;No;No;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;No;Yes;Very easy;Yes;Yes;Some of them;Some of them;No;Maybe;No;No
29;M;United States;NC;No;No;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;Yes;Yes;Very easy;No;No;No;Some of them;No;No;Yes;No
27;Male;United Kingdom;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;No;Yes;Don't know;No
23;Male;Sweden;?;No;No;No;Rarely;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
27;Female;Australia;?;No;Yes;Yes;Sometimes;6-25;No;Yes;No;Yes;No;No;No;Somewhat difficult;Yes;No;Some of them;Some of them;No;No;No;No
27;Male;United Kingdom;?;No;No;No;Never;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
32;male;United Kingdom;?;No;No;No;Never;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Yes;Yes;Yes;Yes;Yes;No
23;female;United Kingdom;?;No;No;No;?;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Very easy;Maybe;No;No;Some of them;No;Yes;Yes;No
32;Male;New Zealand;?;No;No;Yes;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Very easy;No;No;Some of them;Yes;Maybe;Yes;Don't know;No
22;Male;Netherlands;?;No;Yes;Yes;Sometimes;6-25;Yes;Yes;No;Not sure;No;Don't know;Don't know;Somewhat easy;No;No;Some of them;Yes;Maybe;Yes;Yes;No
65;Male;United States;FL;Yes;No;No;?;6-25;Yes;No;No;No;No;No;Don't know;Very easy;Maybe;No;Some of them;No;No;No;Yes;No
33;M;United States;MI;No;Yes;No;Sometimes;6-25;Yes;Yes;Don't know;Not sure;No;No;Yes;Very easy;No;No;Some of them;Yes;No;No;Yes;No
35;Male;United States;IN;No;No;No;Never;6-25;No;Yes;No;Yes;No;No;Yes;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
31;Male;United States;OH;No;Yes;Yes;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Somewhat easy;Maybe;No;Yes;Yes;No;Maybe;Don't know;No
43;Male;United States;OH;No;No;Yes;Sometimes;6-25;No;Yes;No;Yes;No;No;Don't know;Somewhat easy;No;No;Yes;Yes;No;Maybe;Don't know;No
35;Male;United States;TN;Yes;Yes;No;?;6-25;Yes;Yes;No;No;Yes;Yes;Don't know;Very easy;No;No;Yes;Yes;No;Maybe;Yes;No
32;Male;United States;TX;No;No;Yes;Sometimes;6-25;No;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
42;Male;United States;WI;Yes;No;No;Rarely;6-25;Yes;No;No;Yes;No;No;Don't know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
30;Male;United States;GA;Yes;No;Yes;Often;6-25;Yes;Yes;No;Not sure;No;Yes;Don't know;Somewhat difficult;No;No;Yes;Yes;No;Maybe;Yes;No
34;male;United States;CA;Yes;Yes;Yes;Sometimes;6-25;No;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Some of them;Some of them;No;No;No;No
56;Male ;United States;MA;No;Yes;Yes;Rarely;6-25;No;Yes;Yes;Yes;No;No;Don't know;Don't know;Yes;Maybe;Some of them;Some of them;No;No;Don't know;No
31;Male;Germany;?;No;No;No;Sometimes;6-25;Yes;Yes;No;No;No;No;No;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
36;male;Poland;?;Yes;Yes;Yes;Often;6-25;No;Yes;No;No;No;No;Don't know;Somewhat easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;Yes
37;Male;Ireland;?;Yes;No;No;Never;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Yes;Maybe;No;No;No;Maybe;Don't know;No
22;Female;Netherlands;?;No;No;No;Often;6-25;No;Yes;No;No;No;No;Don't know;Don't know;No;No;No;Some of them;No;Yes;Don't know;No
25;Male;Nigeria;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;No;Yes;Yes;No;Yes;Don't know;No
31;male;Germany;?;No;No;No;?;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Somewhat easy;No;No;Some of them;Yes;Maybe;Maybe;Don't know;No
23;Male;United States;NC;No;Yes;No;Sometimes;6-25;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;Maybe;No;No;No;No;Maybe;Don't know;No
29;Female;United States;OH;No;Yes;Yes;Rarely;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;Yes;No;No;No;No;No;Don't know;No
21;Female;United Kingdom;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Yes;Maybe;Some of them;No;No;No;Don't know;No
27;f;United Kingdom;?;No;No;Yes;Sometimes;6-25;Yes;Yes;Don't know;Not sure;Yes;Don't know;Yes;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
23;male;Canada;?;No;No;Yes;Sometimes;6-25;No;Yes;Yes;No;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
32;Male;United Kingdom;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Yes;No;No;No;No;Yes;No;No
29;Male;United States;SC;No;No;No;?;6-25;No;Yes;No;No;No;Don't know;Don't know;Somewhat difficult;Maybe;Maybe;Some of them;No;No;No;Don't know;No
34;Male;United Kingdom;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Yes;No;Maybe;Don't know;No
27;male;France;?;No;No;No;?;6-25;No;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Yes;Yes;No;No;Yes;No
29;Male;United States;CO;No;No;No;Never;6-25;No;Yes;Yes;Yes;No;Yes;Yes;Don't know;Maybe;No;Some of them;Some of them;No;No;No;No
